ngram;time_slot;df;idft;df_idft
kelola at cost;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
awas bareng kpk;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis mbg percaya;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
anggar kelola at;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis mbg prioritas;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
pakai mark up;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
bangsa transaksi cek;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
anak bangsa transaksi;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
ga pakai mark;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
cek kppn ga;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kppn ga pakai;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
transaksi cek kppn;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
mbg prioritas anak;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis mbg mark;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
at cost proses;2025-08-09 13:00;1;1.8870696490323797;1.8870696490323797
up harga at;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
mark up harga;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
cost proses valid;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
mbg mark up;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis kelola buka;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
hadir makan gizi;2025-08-09 13:00;1;1.7047480922384253;1.7047480922384253
sesuai pasar bpkp;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
gak ragu mbg;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kelola buka kppn;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
mbg hadir makan;2025-08-09 13:00;1;1.7047480922384253;1.7047480922384253
harga sesuai pasar;2025-08-09 13:00;1;2.1102132003465894;2.1102132003465894
gizi gratis kelola;2025-08-09 13:00;1;2.1102132003465894;2.1102132003465894
kppn harga sesuai;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
ragu mbg hadir;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
buka kppn harga;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
wowo mbg bikin;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
marah rakyat doang;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
luar batas mampu;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
cerdas kayak kasir;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
bijak wowo mbg;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
jarah kemarin inisiatif;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
mampu bijak wowo;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
maksa orang cerdas;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kayak kasir plus;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
doang gw bingung;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
batas mampu bijak;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
beliau udah luar;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
mbg bikin sakit;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
bikin sakit kepala;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
orang cerdas kayak;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
udah luar batas;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gw udah bilang;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
plus samsak marah;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
sakit kepala maksa;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kasir plus samsak;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
rakyat doang gw;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kepala maksa orang;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
samsak marah rakyat;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
bingung jarah kemarin;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
udah bilang beliau;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gw bingung jarah;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
bilang beliau udah;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis buka harga;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
buka harga pasar;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kpk awas ketat;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kelola mbg makan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gizi gratis buka;2025-08-09 13:00;1;2.1102132003465894;2.1102132003465894
gratis catat transparan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
ambil at cost;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
cost celah mark;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gizi gratis catat;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kpk harga ambil;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
catat transparan kppn;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
at cost celah;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
celah mark up;2025-08-09 13:00;2;2.803360380906535;5.60672076181307
harga ambil at;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis nikmat dukung;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gizi gratis nikmat;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
nikmat dukung sistem;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
hadir jamin makan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
mbg hadir jamin;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
dukung sistem transparan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
jamin makan gizi;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
kppn awas mark;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
awas mark up;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
perintah kelola transparan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
anak sekolah dapet;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
