time_slot;ngram;n;df_idft
2025-11-09;v a;2;0.014388489208633094
2025-11-09;u s;2;0.18705035971223022
2025-11-09;a y;2;0.16546762589928057
2025-11-09;u n;2;0.39568345323741005
2025-11-09;o d;2;0.04316546762589928
2025-11-09;n u;2;0.1366906474820144
2025-11-09;d u;2;0.17985611510791366
2025-11-09;f u;2;0.02158273381294964
2025-11-09;s p;2;0.07913669064748201
2025-11-09;p g;2;0.03597122302158273
2025-11-09;g u;2;0.16546762589928057
2025-11-09;p p;2;0.03597122302158273
2025-11-09;p u;2;0.15827338129496402
2025-11-09;l r;2;0.02158273381294964
2025-11-09;o l;2;0.2158273381294964
2025-11-09;u r;2;0.23741007194244604
2025-11-09;p o;2;0.1366906474820144
2025-11-09;k s;2;0.10071942446043165
2025-11-09;y u;2;0.02877697841726619
2025-11-09;l y;2;0.014388489208633094
2025-11-09;b r;2;0.03597122302158273
2025-11-09;k i;2;0.03597122302158273
2025-11-09;r g;2;0.02158273381294964
2025-11-09;u p;2;0.08633093525179857
2025-11-09;b i;2;0.2014388489208633
2025-11-09;a a;2;0.06474820143884892
2025-11-09;k e;2;0.2589928057553957
2025-11-09;c o;2;0.02158273381294964
2025-11-09;k y;2;0.02877697841726619
2025-11-09;c u;2;0.1079136690647482
2025-11-09;m o;2;0.04316546762589928
2025-11-09;e j;2;0.02877697841726619
2025-11-09;o b;2;0.02877697841726619
2025-11-09;p i;2;0.12949640287769784
2025-11-09;g o;2;0.05755395683453238
2025-11-09;  o;2;0.12949640287769784
2025-11-09;a j;2;0.1366906474820144
2025-11-09;v e;2;0.05755395683453238
2025-11-09;r l;2;0.02877697841726619
2025-11-09;n v;2;0.02158273381294964
2025-11-09;i j;2;0.02158273381294964
2025-11-09;s w;2;0.08633093525179857
2025-11-09;n c;2;0.050359712230215826
2025-11-09;n i;2;0.15827338129496402
2025-11-09;f  ;2;0.06474820143884892
2025-11-09;u l;2;0.08633093525179857
2025-11-09;l d;2;0.02158273381294964
2025-11-09;l o;2;0.18705035971223022
2025-11-09;i u;2;0.02877697841726619
2025-11-09;  u;2;0.15827338129496402
2025-11-09;o k;2;0.1510791366906475
2025-11-09;m k;2;0.03597122302158273
2025-11-09;p t;2;0.1223021582733813
2025-11-09;k m;2;0.02877697841726619
2025-11-09;r j;2;0.03597122302158273
2025-11-09;i b;2;0.10071942446043165
2025-11-09;i p;2;0.06474820143884892
2025-11-09;m p;2;0.20863309352517986
2025-11-09;h e;2;0.06474820143884892
2025-11-09;b n;2;0.02877697841726619
2025-11-09;e b;2;0.02877697841726619
2025-11-09;k k;2;0.014388489208633094
2025-11-09;b e;2;0.17266187050359713
2025-11-09;g g;2;0.17266187050359713
2025-11-09;o s;2;0.07913669064748201
2025-11-09;n s;2;0.08633093525179857
2025-11-09;p b;2;0.02877697841726619
2025-11-09;u u;2;0.014388489208633094
2025-11-09;k n;2;0.02877697841726619
2025-11-09;e p;2;0.11510791366906475
2025-11-09;e t;2;0.12949640287769784
2025-11-09;i v;2;0.014388489208633094
2025-11-09;g n;2;0.04316546762589928
2025-11-09;d r;2;0.08633093525179857
2025-11-09;o p;2;0.07913669064748201
2025-11-09;f a;2;0.07194244604316546
2025-11-09;v i;2;0.02158273381294964
2025-11-09;d g;2;0.02158273381294964
2025-11-09;a f;2;0.03597122302158273
2025-11-09;r v;2;0.007194244604316547
2025-11-09;r u;2;0.10071942446043165
2025-11-09;p d;2;0.007194244604316547
2025-11-09;u b;2;0.05755395683453238
2025-11-09;h u;2;0.050359712230215826
2025-11-09;j e;2;0.007194244604316547
2025-11-09;e  ;2;0.12949640287769784
2025-11-09;i y;2;0.007194244604316547
2025-11-09;o y;2;0.014388489208633094
2025-11-09;y e;2;0.03597122302158273
2025-11-09;s y;2;0.02877697841726619
2025-11-09;r s;2;0.050359712230215826
2025-11-09;b  ;2;0.09352517985611511
2025-11-09;j i;2;0.06474820143884892
2025-11-09;u i;2;0.02158273381294964
2025-11-09;m t;2;0.02877697841726619
2025-11-09;i c;2;0.014388489208633094
2025-11-09;n f;2;0.06474820143884892
2025-11-09;a e;2;0.02877697841726619
2025-11-09;v  ;2;0.014388489208633094
2025-11-09;n k;2;0.06474820143884892
2025-11-09;k r;2;0.03597122302158273
2025-11-09;w i;2;0.02877697841726619
